area,area_dir,team_dir,team_code,session_id,file_role,suffix,bytes,relative_path,mtime
shanghai,上海赛区,西华大学_西华明德贰队,T12,6935-1766208365,replay_log,.log,54884668,上海赛区/西华大学_西华明德贰队/6935-1766208365/vehicle_perception_simulation_trajectory.log,2026-06-18T17:18:47
shanghai,上海赛区,西华大学_西华明德贰队,T12,6935-1766208365,replay_log,.log,64749100,上海赛区/西华大学_西华明德贰队/6935-1766208365/vehicle_perception_trajectory.log,2026-06-18T17:18:47
shanghai,上海赛区,西华大学_西华明德贰队,T12,6935-1766208365,replay_log,.log,6708232,上海赛区/西华大学_西华明德贰队/6935-1766208365/vehicle_trajectory.log,2026-06-18T17:18:46
shanghai,上海赛区,西华大学_西华明德贰队,T12,6953-1766219816,replay_log,.log,875790,上海赛区/西华大学_西华明德贰队/6953-1766219816/monitor.log,2026-06-18T17:18:45
shanghai,上海赛区,西华大学_西华明德贰队,T12,6953-1766219816,replay_log,.log,93876080,上海赛区/西华大学_西华明德贰队/6953-1766219816/simulation_trajectory.log,2026-06-18T17:18:46
shanghai,上海赛区,西华大学_西华明德贰队,T12,6953-1766219816,replay_log,.log,66023015,上海赛区/西华大学_西华明德贰队/6953-1766219816/vehicle_perception_simulation_trajectory.log,2026-06-18T17:18:46
shanghai,上海赛区,西华大学_西华明德贰队,T12,6953-1766219816,replay_log,.log,90327458,上海赛区/西华大学_西华明德贰队/6953-1766219816/vehicle_perception_trajectory.log,2026-06-18T17:18:46
shanghai,上海赛区,西华大学_西华明德贰队,T12,6953-1766219816,replay_log,.log,7207326,上海赛区/西华大学_西华明德贰队/6953-1766219816/vehicle_trajectory.log,2026-06-18T17:18:46
shanghai,上海赛区,西华大学_西华明德贰队,T12,,diagnosis_pdf,.pdf,4255803,上海赛区/西华大学_西华明德贰队/西华大学_西华明德贰队.pdf,2025-12-24T10:16:10
shanghai,上海赛区,西华大学_西华明德贰队,T12,,replay_zip,.zip,29617001,上海赛区/西华大学_西华明德贰队/西华大学_西华明德贰队6953-1766219816.zip,2025-12-24T10:15:39
shanghai,上海赛区,西华大学_西华明德贰队,T12,,replay_zip,.zip,22881440,上海赛区/西华大学_西华明德贰队/西华大学_西华明德贰队_6935-1766208365.zip,2025-12-24T10:15:42
shanghai,上海赛区,西华大学_西华明德贰队,T12,,video,.mp4,1955251697,上海赛区/西华大学_西华明德贰队/西华大学重赛_20251220_162731.mp4,2025-12-24T10:17:06
shanghai,上海赛区,重庆大学_CQUauto,T1,,hidden_metadata,,8196,上海赛区/重庆大学_CQUauto/.DS_Store,2026-03-24T09:14:11
shanghai,上海赛区,重庆大学_CQUauto,T1,6940-1766211847,replay_log,.log,652270,上海赛区/重庆大学_CQUauto/6940-1766211847/monitor.log,2026-06-18T17:18:47
shanghai,上海赛区,重庆大学_CQUauto,T1,6940-1766211847,replay_log,.log,83686407,上海赛区/重庆大学_CQUauto/6940-1766211847/simulation_trajectory.log,2026-06-18T17:18:47
shanghai,上海赛区,重庆大学_CQUauto,T1,6940-1766211847,replay_log,.log,70668096,上海赛区/重庆大学_CQUauto/6940-1766211847/vehicle_perception_simulation_trajectory.log,2026-06-18T17:18:47
shanghai,上海赛区,重庆大学_CQUauto,T1,6940-1766211847,replay_log,.log,70408807,上海赛区/重庆大学_CQUauto/6940-1766211847/vehicle_perception_trajectory.log,2026-06-18T17:18:48
shanghai,上海赛区,重庆大学_CQUauto,T1,6940-1766211847,replay_log,.log,5903499,上海赛区/重庆大学_CQUauto/6940-1766211847/vehicle_trajectory.log,2026-06-18T17:18:47
shanghai,上海赛区,重庆大学_CQUauto,T1,,video,.mp4,1334346308,上海赛区/重庆大学_CQUauto/CQU_20251220_142413.mp4,2025-12-24T10:12:23
shanghai,上海赛区,重庆大学_CQUauto,T1,,diagnosis_pdf,.pdf,4565512,上海赛区/重庆大学_CQUauto/重庆大学_CQUauto-2025.pdf,2025-12-24T10:16:10
shanghai,上海赛区,重庆大学_CQUauto,T1,,replay_zip,.zip,25601770,上海赛区/重庆大学_CQUauto/重庆大学_CQUauto-2025_6940-1766211847.zip,2025-12-24T10:16:06
shanghai,上海赛区,重庆大学_CQUauto,T1,,hidden_metadata,,8196,上海赛区/重庆大学_CQUauto/重庆大学_CQUauto-2025_6940-1766211847/.DS_Store,2026-03-24T09:13:58
shanghai,上海赛区,重庆大学_CQUauto,T1,6940-1766211847,replay_log,.log,652270,上海赛区/重庆大学_CQUauto/重庆大学_CQUauto-2025_6940-1766211847/6940-1766211847/monitor.log,2025-12-24T10:15:43
shanghai,上海赛区,重庆大学_CQUauto,T1,6940-1766211847,replay_log,.log,83686407,上海赛区/重庆大学_CQUauto/重庆大学_CQUauto-2025_6940-1766211847/6940-1766211847/simulation_trajectory.log,2025-12-24T10:15:59
shanghai,上海赛区,重庆大学_CQUauto,T1,6940-1766211847,replay_log,.log,70668096,上海赛区/重庆大学_CQUauto/重庆大学_CQUauto-2025_6940-1766211847/6940-1766211847/vehicle_perception_simulation_trajectory.log,2025-12-24T10:16:05
shanghai,上海赛区,重庆大学_CQUauto,T1,6940-1766211847,replay_log,.log,70408807,上海赛区/重庆大学_CQUauto/重庆大学_CQUauto-2025_6940-1766211847/6940-1766211847/vehicle_perception_trajectory.log,2025-12-24T10:16:11
shanghai,上海赛区,重庆大学_CQUauto,T1,6940-1766211847,replay_log,.log,5903499,上海赛区/重庆大学_CQUauto/重庆大学_CQUauto-2025_6940-1766211847/6940-1766211847/vehicle_trajectory.log,2025-12-24T10:16:01
shanghai,上海赛区,长沙理工大学_csust,,,video,.mp4,168451825,上海赛区/长沙理工大学_csust/csust_20251220_144441.mp4,2025-12-24T10:08:38
shanghai,上海赛区,长沙理工大学_csust,,,video,.mp4,289211891,上海赛区/长沙理工大学_csust/csust_20251220_152549.mp4,2025-12-24T10:06:23
beijing,北京赛区,.DS_Store,,,hidden_metadata,,22532,北京赛区/.DS_Store,2026-06-18T15:46:41
beijing,北京赛区,1-KUST-BPS,T14,,hidden_metadata,,8196,北京赛区/1-KUST-BPS/.DS_Store,2026-06-18T15:06:07
beijing,北京赛区,1-KUST-BPS,T14,,video,.mp4,480927777,北京赛区/1-KUST-BPS/01 KUST-BPS 昆明理工大学.mp4,2025-12-24T10:17:04
beijing,北京赛区,1-KUST-BPS,T14,6922-1766197115,replay_log,.log,493672,北京赛区/1-KUST-BPS/6922-1766197115/monitor.log,2025-12-24T10:16:11
beijing,北京赛区,1-KUST-BPS,T14,6922-1766197115,replay_log,.log,72746443,北京赛区/1-KUST-BPS/6922-1766197115/simulation_trajectory.log,2025-12-24T10:16:21
beijing,北京赛区,1-KUST-BPS,T14,6922-1766197115,replay_log,.log,56724830,北京赛区/1-KUST-BPS/6922-1766197115/vehicle_perception_simulation_trajectory.log,2025-12-24T10:16:29
beijing,北京赛区,1-KUST-BPS,T14,6922-1766197115,replay_log,.log,56533022,北京赛区/1-KUST-BPS/6922-1766197115/vehicle_perception_trajectory.log,2025-12-24T10:16:35
beijing,北京赛区,1-KUST-BPS,T14,6922-1766197115,replay_log,.log,4483565,北京赛区/1-KUST-BPS/6922-1766197115/vehicle_trajectory.log,2025-12-24T10:16:30
beijing,北京赛区,1-KUST-BPS,T14,,onsite_runtime_log,.log,7524,北京赛区/1-KUST-BPS/onsite_2025-12-20_10-35-40.log,2025-12-24T10:16:30
beijing,北京赛区,1-KUST-BPS,T14,,diagnosis_pdf,.pdf,4274217,北京赛区/1-KUST-BPS/诊断报告.pdf,2025-12-24T10:16:31
beijing,北京赛区,1-KUST-BPS,T14,,team_info_txt,.txt,475,北京赛区/1-KUST-BPS/队伍信息.txt,2026-01-16T16:32:59
beijing,北京赛区,2-wulawula,T15,,hidden_metadata,,10244,北京赛区/2-wulawula/.DS_Store,2026-06-18T15:45:24
beijing,北京赛区,2-wulawula,T15,,video,.mp4,444131740,北京赛区/2-wulawula/02 wulala 长安大学.mp4,2025-12-24T10:17:11
beijing,北京赛区,2-wulawula,T15,,appeal_or_evidence_png,.png,135274,北京赛区/2-wulawula/12.png,2025-12-24T10:16:35
beijing,北京赛区,2-wulawula,T15,6924-1766198444,replay_log,.log,521725,北京赛区/2-wulawula/6924-1766198444/monitor.log,2025-12-24T10:16:35
beijing,北京赛区,2-wulawula,T15,6924-1766198444,replay_log,.log,71946778,北京赛区/2-wulawula/6924-1766198444/simulation_trajectory.log,2025-12-24T10:16:45
beijing,北京赛区,2-wulawula,T15,6924-1766198444,replay_log,.log,70006309,北京赛区/2-wulawula/6924-1766198444/vehicle_perception_simulation_trajectory.log,2025-12-24T10:16:54
beijing,北京赛区,2-wulawula,T15,6924-1766198444,replay_log,.log,69810695,北京赛区/2-wulawula/6924-1766198444/vehicle_perception_trajectory.log,2025-12-24T10:17:00
